CustomerID,Recency,Frequency,Monetary,R_log,F_log,M_log,Cluster,Segment,Churn_Probability,Predicted_Churn
12346,325,1,77183.6,5.786897381366708,0.6931471805599453,9.892501674765558,1,Loyal / High-Value,0.4159993099520994,0
12347,2,7,4310.0,1.0986122886681096,2.0794415416798357,8.368925174747135,1,Loyal / High-Value,0.09777002890150731,0
12348,75,4,1797.24,4.330733340286331,1.6094379124341003,7.494563687769957,1,Loyal / High-Value,0.2789044714991422,0
12349,18,1,1757.55,2.9444389791664403,0.6931471805599453,7.472244884833674,0,At-Risk / Low-Engagement,0.4379727581165693,0
12350,310,1,334.4,5.739792912179234,0.6931471805599453,5.815323849389109,0,At-Risk / Low-Engagement,0.6586266799739356,1
12352,36,8,2506.04,3.6109179126442243,2.1972245773362196,7.826858053356098,1,Loyal / High-Value,0.14643771586856824,0
12353,204,1,89.0,5.3230099791384085,0.6931471805599453,4.499809670330265,0,At-Risk / Low-Engagement,0.7210311935026064,1
12354,232,1,1079.4,5.4510384535657,0.6931471805599453,6.985086621918461,0,At-Risk / Low-Engagement,0.5780491925948715,1
12355,214,1,459.4,5.3706380281276624,0.6931471805599453,6.132095676847728,0,At-Risk / Low-Engagement,0.6286235795477186,1
12356,22,3,2811.43,3.1354942159291497,1.3862943611198906,7.941804157314053,1,Loyal / High-Value,0.25961944071934256,0
12357,33,1,6207.67,3.5263605246161616,0.6931471805599453,8.733701981297274,1,Loyal / High-Value,0.38182251171720344,0
12358,1,2,1168.06,0.6931471805599453,1.0986122886681096,7.063955286074528,1,Loyal / High-Value,0.27961026797991423,0
12359,57,4,6310.03,4.060443010546419,1.6094379124341003,8.750054175177759,1,Loyal / High-Value,0.2093626580041791,0
12360,52,3,2662.06,3.970291913552122,1.3862943611198906,7.887231116540211,1,Loyal / High-Value,0.291414548374572,0
12361,287,1,189.9,5.662960480135946,0.6931471805599453,5.251749730731702,0,At-Risk / Low-Engagement,0.6912940584142762,1
12362,3,10,5226.23,1.3862943611198906,2.3978952727983707,8.56163678004062,1,Loyal / High-Value,0.07253908459590923,0
12363,109,2,552.0,4.700480365792417,1.0986122886681096,6.315358001522335,0,At-Risk / Low-Engagement,0.48689015952728515,0
12364,7,4,1313.1,2.0794415416798357,1.6094379124341003,7.180907299649593,1,Loyal / High-Value,0.22131750154351526,0
12365,291,2,641.38,5.676753802268282,1.0986122886681096,6.465180028897591,0,At-Risk / Low-Engagement,0.5178562247211331,1
12367,4,1,168.9,1.6094379124341003,0.6931471805599453,5.135210028677887,0,At-Risk / Low-Engagement,0.5340940368110826,1
12370,51,4,3541.94,3.9512437185814275,1.6094379124341003,8.172712169921061,1,Loyal / High-Value,0.232347613713732,0
12371,44,2,1887.96,3.8066624897703196,1.0986122886681096,7.543781692052325,0,At-Risk / Low-Engagement,0.3699421491384536,0
12372,71,3,1298.04,4.276666119016055,1.3862943611198906,7.169380809114136,0,At-Risk / Low-Engagement,0.3439982534188155,0
12373,311,1,364.6,5.7430031878094825,0.6931471805599453,5.901539839579995,0,At-Risk / Low-Engagement,0.6534834706964475,1
12374,25,1,742.9300000000001,3.258096538021482,0.6931471805599453,6.6119469443852195,0,At-Risk / Low-Engagement,0.5081313446755651,1
12375,10,2,457.5,2.3978952727983707,1.0986122886681096,6.127960291696519,0,At-Risk / Low-Engagement,0.4006294415674431,0
12377,315,2,1628.12,5.755742213586912,1.0986122886681096,7.395795270713971,0,At-Risk / Low-Engagement,0.4564660759805762,0
12378,129,1,4008.62,4.867534450455582,0.6931471805599453,8.29645175271804,0,At-Risk / Low-Engagement,0.4667310171309113,0
12379,81,2,852.24,4.406719247264253,1.0986122886681096,6.749040867823617,0,At-Risk / Low-Engagement,0.4456826192008395,0
12380,21,4,2724.81,3.091042453358316,1.6094379124341003,7.910520910634419,1,Loyal / High-Value,0.2183695479367143,0
12381,4,5,1845.31,1.6094379124341003,1.791759469228055,7.520944331624911,1,Loyal / High-Value,0.16580424412109473,0
12383,184,5,1850.56,5.220355825078325,1.791759469228055,7.523783805985769,1,Loyal / High-Value,0.2710638647522711,0
12384,28,2,585.27,3.367295829986474,1.0986122886681096,6.373780434317173,0,At-Risk / Low-Engagement,0.42569014401928684,0
12386,337,2,401.9,5.823045895483019,1.0986122886681096,5.998688392197302,0,At-Risk / Low-Engagement,0.5485428225597544,1
12388,15,6,2780.66,2.772588722239781,1.9459101490553132,7.930803150780257,1,Loyal / High-Value,0.15718097368980183,0
12390,79,1,549.84,4.382026634673881,0.6931471805599453,6.311444385858925,0,At-Risk / Low-Engagement,0.5761990348474457,1
12391,21,1,439.66,3.091042453358316,0.6931471805599453,6.0882736030360425,0,At-Risk / Low-Engagement,0.5354304494830302,1
12393,72,4,1582.6000000000001,4.290459441148391,1.6094379124341003,7.3674560152319755,1,Loyal / High-Value,0.28428736868163634,0
12394,63,2,1272.48,4.1588830833596715,1.0986122886681096,7.149508589545504,0,At-Risk / Low-Engagement,0.4092537299055888,0
12395,19,12,3018.63,2.995732273553991,2.5649493574615367,8.012889586306857,1,Loyal / High-Value,0.09160086849509823,0
12397,35,2,2409.9,3.58351893845611,1.0986122886681096,7.7877554007552545,1,Loyal / High-Value,0.3462138382007186,0
12398,45,1,1635.6599999999999,3.828641396489095,0.6931471805599453,7.4004128587924045,0,At-Risk / Low-Engagement,0.48080293308259014,0
12399,119,4,1108.65,4.787491742782046,1.6094379124341003,7.011799929268738,0,At-Risk / Low-Engagement,0.322362334561413,0
12401,303,1,84.3,5.717027701406222,0.6931471805599453,4.446174454497633,0,At-Risk / Low-Engagement,0.7348072843492687,1
12402,323,1,225.6,5.780743515792329,0.6931471805599453,5.423186348593906,0,At-Risk / Low-Engagement,0.6815387390317267,1
12403,49,1,427.7,3.912023005428146,0.6931471805599453,6.0607573736039315,0,At-Risk / Low-Engagement,0.5724441484242487,1
12405,148,1,1710.39,5.003946305945459,0.6931471805599453,7.445061184797548,0,At-Risk / Low-Engagement,0.5288450247057906,1
12406,22,2,3415.3,3.1354942159291497,1.0986122886681096,8.136313373066384,1,Loyal / High-Value,0.3088093446869482,0
12407,49,5,1708.1200000000001,3.912023005428146,1.791759469228055,7.4437338971514055,1,Loyal / High-Value,0.23231018575992649,0
12408,32,5,2888.55,3.4965075614664802,1.791759469228055,7.968856059639959,1,Loyal / High-Value,0.19681622546759256,0
12409,78,3,11072.67,4.3694478524670215,1.3862943611198906,9.312325497408466,1,Loyal / High-Value,0.23219533625531036,0
